"NUM";"TITLE";"genre"
279;"드래곤볼 파이터즈 - 케프라 (한국어판)";"격투"
280;"드래곤볼 파이터즈 - 케프라 (한국어판)";"격투"
281;"드래곤볼 파이터즈 - 거북선인 (한국어판)";"격투"
282;"드래곤볼 파이터즈 - SSGSS 오공과 SSGSS 베지터 개방권 (한국어판)";"격투"
283;"드래곤볼 파이터즈 - SSGSS 오공과 SSGSS 베지터 개방권 (한국어판)";"격투"
284;"드래곤볼 파이터즈 - SSGSS 로비 아바타 (한국어판)";"격투"
285;"드래곤볼 파이터즈 - SSGSS 로비 아바타 (한국어판)";"격투"
286;"드래곤볼 파이터즈 - 슈퍼 베이비2 (한국어판)";"격투"
287;"드래곤볼 파이터즈 - 베지터 (한국어판)";"격투"
288;"드래곤볼 파이터즈 - 베지터 (한국어판)";"격투"
289;"드래곤볼 파이터즈 - 베지트(SSGSS) (한국어판)";"격투"
290;"드래곤볼 파이터즈 - 베지트(SSGSS) (한국어판)";"격투"
291;"드래곤볼 파이터즈 - 비델 (한국어판)";"격투"
292;"드래곤볼 파이터즈 - 비델 (한국어판)";"격투"
293;"드래곤볼 파이터즈 - 자마스(합체) (한국어판)";"격투"
294;"드래곤볼 파이터즈 - 자마스(합체) (한국어판)";"격투"
295;"삼국지13 with 파워업키트 (한국어판)";"전략"
296;"삼국지13 파워업키트 (한국어판)";"전략"
297;"War Thunder -  French Starter Pack (한국어판)";"시뮬레이션"
298;"War Thunder -  French Starter Pack (한국어판)";"액션"
299;"War Thunder -  French Starter Pack (한국어판)";"유니크"
300;"War Thunder - A-5C (한국어판)";"시뮬레이션"
301;"War Thunder - A-5C (한국어판)";"액션"
302;"War Thunder - Aigle (한국어판)";"시뮬레이션"
303;"War Thunder - Aigle (한국어판)";"액션"
304;"War Thunder - AV-8A Harrier (한국어판)";"시뮬레이션"
305;"War Thunder - AV-8A Harrier (한국어판)";"액션"
306;"War Thunder - AV-8A Harrier (한국어판)";"유니크"
307;"War Thunder - Black Shark (영어판)";"액션"
308;"War Thunder - British Starter Pack (한국어판)";"시뮬레이션"
309;"War Thunder - British Starter Pack (한국어판)";"액션"
310;"War Thunder - British Starter Pack (한국어판)";"유니크"
311;"War Thunder - Centurion Mk 5 AVRE (영어판)";"액션"
312;"War Thunder - Challenger Mk.3 Pack (한국어판)";"시뮬레이션"
313;"War Thunder - Challenger Mk.3 Pack (한국어판)";"액션"
314;"War Thunder - J-7D (한국어판)";"시뮬레이션"
315;"War Thunder - J-7D (한국어판)";"액션"
316;"War Thunder - Chinese Starter Pack (한국어판)";"시뮬레이션"
317;"War Thunder - Chinese Starter Pack (한국어판)";"액션"
318;"War Thunder - CV 90105 XC-8 (한국어판)";"액션"
319;"War Thunder - CV 90105 XC-8 (한국어판)";"액션"
320;"War Thunder - Dora (한국어판)";"액션"
321;"War Thunder - Dora (한국어판)";"액션"
322;"War Thunder - Duguay-Trouin (한국어판)";"시뮬레이션"
323;"War Thunder - Duguay-Trouin (한국어판)";"액션"
